engine,benchmark,sf,query,storage,n_reps,min_s,avg_power_w,avg_gpu_util,max_mem_mb,num_steady_samples,gpu_energy_j,gpu_energy_derived_j,avg_cpu_pkg_w,cpu_energy_j,cpu_energy_derived_j,total_energy_j,status,source_file
maximus,tpch,20,q6,cpu,58,0.174248,61.3,2.6,40768.0,4896,0.0,10.6814,0.0,0.0,0.0,0.0,OK,maximus_cpu_data_metrics_summary_20260316_115748.csv
maximus,tpch,5,q1,cpu,79,0.122411,66.2,11.3,40772.0,1227,0.0,8.1036,0.0,0.0,0.0,0.0,OK,maximus_cpu_data_metrics_summary_20260316_115748.csv
maximus,tpch,5,q10,cpu,95,0.112,131.8,55.2,4314.0,1798,0.0,14.7616,133.1,14.9,14.9072,14.9,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,5,q11,cpu,157,0.069,136.4,59.9,4316.0,447,0.0,9.4116,-7313.2,-504.6,-504.6108,-504.6,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,5,q12,cpu,22,0.471,130.7,55.6,4312.0,699,0.0,61.5597,134.6,63.4,63.3966,63.4,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,5,q13,cpu,61,0.185,151.8,62.9,7506.0,381,0.0,28.083,132.2,24.5,24.457,24.5,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,5,q14,cpu,27,0.391,120.0,48.8,4310.0,706,0.0,46.92,135.0,52.8,52.785,52.8,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,5,q15,cpu,28,0.385,134.3,56.8,4318.0,734,0.0,51.7055,134.3,51.7,51.7055,51.7,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,5,q16,cpu,97,0.118,139.0,65.9,4312.0,422,0.0,16.402,132.6,15.6,15.6468,15.6,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,5,q17,cpu,25,0.427,131.9,55.7,7212.0,696,0.0,56.3213,134.7,57.5,57.5169,57.5,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,5,q18,cpu,20,0.517,131.5,57.0,7212.0,658,0.0,67.9855,133.0,68.8,68.761,68.8,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,5,q19,cpu,21,0.514,135.1,57.7,15256.0,619,0.0,69.4414,134.5,69.1,69.133,69.1,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,5,q2,cpu,556,0.018,54.0,5.6,3889.0,1655,0.0,0.972,124.3,2.2,2.2374,2.2,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,5,q20,cpu,23,0.478,131.0,56.6,4316.0,770,0.0,62.618,134.5,64.3,64.291,64.3,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,5,q3,cpu,169,0.058158,61.6,4.2,40810.0,3210,0.0,3.5825,0.0,0.0,0.0,0.0,OK,maximus_cpu_data_metrics_summary_20260316_115748.csv
maximus,tpch,5,q4,cpu,157,0.063,54.3,4.6,7440.0,2510,0.0,3.4209,129.0,8.1,8.127,8.1,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,5,q5,cpu,91,0.108,54.7,5.1,6728.0,1435,0.0,5.9076,133.3,14.4,14.3964,14.4,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,5,q6,cpu,221,0.044391,61.5,3.8,40768.0,3284,0.0,2.73,0.0,0.0,0.0,0.0,OK,maximus_cpu_data_metrics_summary_20260316_115748.csv
maximus,tpch,5,q7,cpu,88,0.118,128.7,39.4,6728.0,1700,0.0,15.1866,133.9,15.8,15.8002,15.8,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,5,q8,cpu,76,0.13,127.9,38.9,12984.0,1646,0.0,16.627,133.3,17.3,17.329,17.3,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,5,q9,cpu,61,0.165,119.7,45.7,12776.0,1392,0.0,19.7505,133.8,22.1,22.077,22.1,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
sirius,clickbench,10,q0,gpu,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q1,gpu,60000,0.0,67.0,9.2,15841.0,811,0.0,0.0,110.8,0.0,0.0,0.0,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q10,gpu,20000,0.001,101.7,55.2,15841.0,856,0.1,0.1017,115.4,0.12,0.1154,0.22,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q11,gpu,20001,0.001,103.9,54.5,15841.0,979,0.1,0.1039,115.2,0.12,0.1152,0.22,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q12,gpu,24000,0.001,128.2,53.3,15841.0,877,0.13,0.1282,116.6,0.12,0.1166,0.25,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q13,gpu,3915,0.001,148.2,77.6,15841.0,761,0.15,0.1482,117.3,0.12,0.1173,0.27,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
sirius,clickbench,10,q14,gpu,20000,0.001,129.2,51.7,15841.0,774,0.13,0.1292,-4301.1,-4.3,-4.3011,-4.17,OK,sirius_clickbench_sf10_metrics_summary_20260302_053904.csv
