config,cpu_freq_khz,gpu_clk,engine,avg_cpu_dram_w,avg_cpu_pkg_w,avg_gpu_util,avg_ms,avg_power_w,avg_s,benchmark,cpu_energy_j,elapsed_s,energy_j,gpu_energy_j,max_gpu_util,max_mem_mb,max_power_w,min_ms,min_s,n_reps,num_samples,num_steady_samples,query,run_id,sf,status,storage
baseline,4000000,auto,sirius,1.8,111.9,57.3,,98.1,0.0078,clickbench,0.11,13.50,,0.10,96,15841,132.7,,0.0010,770,171,127,q25,clickbench_sf5_q25,5,OK,
baseline,4000000,auto,sirius,1.9,114.6,47.8,,91.6,0.0037,clickbench,0.11,13.71,,0.09,89,15841,121.9,,0.0010,1668,177,129,q26,clickbench_sf5_q26,5,OK,
baseline,4000000,auto,sirius,1.8,113.2,67.0,,152.5,0.0043,clickbench,0.23,10.19,,0.31,70,15841,159.4,,0.0020,1429,132,78,q27,clickbench_sf5_q27,5,OK,
baseline,4000000,auto,sirius,,,,,,,clickbench,,,,,,,,,,0,0,0,q28,clickbench_sf5_q28,5,FALLBACK,
baseline,4000000,auto,sirius,1.8,108.2,3.4,,53.9,0.0224,clickbench,2.27,13.45,,1.13,34,15837,60.0,,0.0210,1305,168,117,q29,clickbench_sf5_q29,5,OK,
baseline,4000000,auto,sirius,1.8,108.0,1.1,,52.5,0.0011,clickbench,0.00,11.06,,0.00,9,15821,54.5,,0.0000,30000,136,97,q3,clickbench_sf5_q3,5,OK,
baseline,4000000,auto,sirius,1.8,111.1,34.8,,97.8,0.0022,clickbench,0.11,11.04,,0.10,35,15841,100.2,,0.0010,3334,144,93,q30,clickbench_sf5_q30,5,OK,
baseline,4000000,auto,sirius,1.8,112.2,37.1,,101.9,0.0022,clickbench,0.11,11.25,,0.10,40,15841,105.5,,0.0010,3334,146,92,q31,clickbench_sf5_q31,5,OK,
baseline,4000000,auto,sirius,1.8,110.4,16.7,,64.5,0.0096,clickbench,0.99,12.14,,0.58,84,15823,94.2,,0.0090,3336,152,112,q32,clickbench_sf5_q32,5,OK,
baseline,4000000,auto,sirius,1.9,108.9,10.3,,67.3,0.0110,clickbench,1.09,13.09,,0.67,21,15823,101.1,,0.0100,2730,162,66,q33,clickbench_sf5_q33,5,OK,
