config,engine,time_offset_ms,gpu_power_w,gpu_util_pct,mem_used_mb,sm_clk_mhz,cpu_pkg_w,cpu_dram_w
baseline,maximus_gpu,19026,52.8,0.0,6557.0,2910.0,110.6,3.4
baseline,maximus_gpu,19106,50.82,0.0,6557.0,2910.0,114.2,3.2
baseline,maximus_gpu,19180,50.82,0.0,6557.0,2910.0,109.6,3.6
baseline,maximus_gpu,19254,53.71,0.0,6557.0,2910.0,113.8,3.7
baseline,maximus_gpu,19330,53.7,0.0,6557.0,2910.0,110.3,3.6
baseline,maximus_gpu,19404,53.69,0.0,6557.0,2910.0,109.3,2.3
baseline,maximus_gpu,19478,53.69,0.0,6557.0,2910.0,109.3,2.0
baseline,maximus_gpu,19551,53.67,0.0,6557.0,2910.0,107.0,1.9
baseline,maximus_gpu,19625,54.05,0.0,6557.0,2910.0,112.9,2.0
baseline,maximus_gpu,19699,54.04,0.0,6557.0,2910.0,109.0,2.6
