config,pl_w,sm_mhz,engine,benchmark,sf,query,storage,n_reps,min_ms,query_ms,elapsed_s,n_samples,n_steady,avg_power_w,max_power_w,avg_util,max_mem_mb,avg_sm_mhz,gpu_energy_j,cpu_energy_j,total_energy_j,status
pl250w_smauto,250,auto,sirius,h2o,4gb,q9,gpu,80,61.0000,61.0000,10.38,156,103,207.4,247.4,71.5,96531,1531,12.6523,0.0000,12.6523,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q1,cpu,100,14.0000,14.0000,6.61,100,48,173.4,250.9,46.2,96614,1867,2.4277,0.0000,2.4277,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q3,cpu,48,93.0000,93.0000,11.46,172,117,170.0,218.8,26.6,96390,1613,15.8087,0.0000,15.8087,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q5,cpu,100,17.0000,17.0000,6.89,103,48,185.2,245.4,57.0,96609,1599,3.1483,0.0000,3.1483,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q6,cpu,100,28.0000,28.0000,7.66,115,62,201.8,249.7,67.5,96621,1560,5.6501,0.0000,5.6501,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q7,cpu,66,72.0000,72.0000,11.16,164,110,181.0,223.5,33.2,96465,1724,13.0302,0.0000,13.0302,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q9,cpu,81,61.0000,61.0000,10.41,157,105,207.4,244.9,70.9,96534,1530,12.6514,0.0000,12.6514,OK
pl300w_smauto,300,auto,maximus,tpch,10,q1,gpu,100,30.9120,30.9120,6.11,89,75,260.9,287.4,96.8,48711,1609,8.0646,0.0000,8.0646,OK
pl300w_smauto,300,auto,maximus,tpch,10,q3,gpu,100,12.1480,12.1480,4.29,62,48,256.1,301.6,94.4,48711,1540,3.1110,0.0000,3.1110,OK
pl300w_smauto,300,auto,maximus,tpch,10,q6,gpu,100,6.2850,6.2850,3.42,50,35,240.9,300.5,95.0,48711,1509,1.5139,0.0000,1.5139,OK
pl300w_smauto,300,auto,maximus,tpch,10,q9,gpu,100,30.1990,30.1990,6.38,92,78,262.8,288.5,95.9,48712,1566,7.9354,0.0000,7.9354,OK
pl300w_smauto,300,auto,maximus,tpch,10,q13,gpu,37,138.0550,138.0550,7.12,108,93,273.6,299.1,98.1,48713,1492,37.7678,0.0000,37.7678,OK
pl300w_smauto,300,auto,maximus,tpch,10,q16,gpu,100,27.5330,27.5330,4.84,73,59,259.7,297.8,92.7,48716,1846,7.1515,0.0000,7.1515,OK
pl300w_smauto,300,auto,maximus,tpch,10,q1,cpu,100,45.0630,45.0630,137.35,2145,2138,125.4,211.6,3.1,48707,1975,5.6512,0.0000,5.6512,OK
pl300w_smauto,300,auto,maximus,tpch,10,q3,cpu,100,19.6660,19.6660,163.34,2551,2545,120.9,131.0,1.1,48705,1980,2.3779,0.0000,2.3779,OK
