engine,benchmark,sf,query,storage,latency_ms,avg_gpu_power_w,avg_cpu_power_w,total_power_w,gpu_energy_j,total_energy_j,status
maximus,h2o,1gb,q10,cpu,293.9650,148.7,0.0,148.7,43.7126,43.7126,OK
sirius,h2o,1gb,q1,gpu,5.0000,143.6,0.0,143.6,0.7180,0.7180,OK
sirius,h2o,1gb,q2,gpu,4.0000,146.8,0.0,146.8,0.5872,0.5872,OK
sirius,h2o,1gb,q3,gpu,93.0000,160.9,0.0,160.9,14.9637,14.9637,OK
sirius,h2o,1gb,q4,gpu,7.0000,182.9,0.0,182.9,1.2803,1.2803,OK
sirius,h2o,1gb,q5,gpu,5.0000,164.9,0.0,164.9,0.8245,0.8245,OK
sirius,h2o,1gb,q6,gpu,7.0000,176.6,0.0,176.6,1.2362,1.2362,OK
sirius,h2o,1gb,q7,gpu,52.0000,168.1,0.0,168.1,8.7412,8.7412,OK
sirius,h2o,1gb,q9,gpu,17.0000,222.4,0.0,222.4,3.7808,3.7808,OK
sirius,h2o,1gb,q10,gpu,509.0000,136.6,0.0,136.6,69.5294,69.5294,OK
sirius,h2o,1gb,q1,cpu,5.0000,144.6,0.0,144.6,0.7230,0.7230,OK
sirius,h2o,1gb,q2,cpu,4.0000,150.1,0.0,150.1,0.6004,0.6004,OK
sirius,h2o,1gb,q3,cpu,68.0000,161.6,0.0,161.6,10.9888,10.9888,OK
sirius,h2o,1gb,q4,cpu,7.0000,154.1,0.0,154.1,1.0787,1.0787,OK
sirius,h2o,1gb,q5,cpu,6.0000,161.0,0.0,161.0,0.9660,0.9660,OK
sirius,h2o,1gb,q6,cpu,7.0000,175.3,0.0,175.3,1.2271,1.2271,OK
sirius,h2o,1gb,q7,cpu,46.0000,171.0,0.0,171.0,7.8660,7.8660,OK
sirius,h2o,1gb,q9,cpu,17.0000,225.3,0.0,225.3,3.8301,3.8301,OK
sirius,h2o,1gb,q10,cpu,496.0000,135.5,0.0,135.5,67.2080,67.2080,OK
maximus,h2o,2gb,q1,gpu,8.0240,255.6,0.0,255.6,2.0509,2.0509,OK
maximus,h2o,2gb,q2,gpu,6.9610,289.4,0.0,289.4,2.0145,2.0145,OK
maximus,h2o,2gb,q3,gpu,36.3530,308.3,0.0,308.3,11.2076,11.2076,OK
maximus,h2o,2gb,q4,gpu,8.1750,262.5,0.0,262.5,2.1459,2.1459,OK
maximus,h2o,2gb,q5,gpu,4.9930,285.1,0.0,285.1,1.4235,1.4235,OK
maximus,h2o,2gb,q6,gpu,150.9400,443.1,0.0,443.1,66.8815,66.8815,OK
maximus,h2o,2gb,q7,gpu,26.1830,315.7,0.0,315.7,8.2660,8.2660,OK
maximus,h2o,2gb,q9,gpu,24.0710,395.2,0.0,395.2,9.5129,9.5129,OK
maximus,h2o,2gb,q10,gpu,283.6510,274.1,0.0,274.1,77.7487,77.7487,OK
maximus,h2o,2gb,q1,cpu,75.0110,122.4,0.0,122.4,9.1813,9.1813,OK
maximus,h2o,2gb,q2,cpu,120.0720,121.9,0.0,121.9,14.6368,14.6368,OK
maximus,h2o,2gb,q3,cpu,179.8120,127.0,0.0,127.0,22.8361,22.8361,OK
maximus,h2o,2gb,q4,cpu,110.5020,120.9,0.0,120.9,13.3597,13.3597,OK
maximus,h2o,2gb,q5,cpu,107.5920,121.8,0.0,121.8,13.1047,13.1047,OK
maximus,h2o,2gb,q6,cpu,234.9670,171.1,0.0,171.1,40.2029,40.2029,OK
maximus,h2o,2gb,q7,cpu,149.8290,127.2,0.0,127.2,19.0582,19.0582,OK
maximus,h2o,2gb,q9,cpu,31.2640,132.5,0.0,132.5,4.1425,4.1425,OK
maximus,h2o,2gb,q10,cpu,576.7370,148.7,0.0,148.7,85.7608,85.7608,OK
sirius,h2o,2gb,q1,gpu,8.0000,162.3,0.0,162.3,1.2984,1.2984,OK
sirius,h2o,2gb,q2,gpu,8.0000,170.0,0.0,170.0,1.3600,1.3600,OK
sirius,h2o,2gb,q3,gpu,86.0000,176.3,0.0,176.3,15.1618,15.1618,OK
sirius,h2o,2gb,q4,gpu,13.0000,186.6,0.0,186.6,2.4258,2.4258,OK
sirius,h2o,2gb,q5,gpu,9.0000,195.6,0.0,195.6,1.7604,1.7604,OK
sirius,h2o,2gb,q6,gpu,13.0000,221.6,0.0,221.6,2.8808,2.8808,OK
sirius,h2o,2gb,q7,gpu,60.0000,188.4,0.0,188.4,11.3040,11.3040,OK
sirius,h2o,2gb,q9,gpu,30.0000,261.2,0.0,261.2,7.8360,7.8360,OK
sirius,h2o,2gb,q10,gpu,1249.0000,136.4,0.0,136.4,170.3636,170.3636,OK
sirius,h2o,2gb,q1,cpu,8.0000,161.3,0.0,161.3,1.2904,1.2904,OK
sirius,h2o,2gb,q2,cpu,8.0000,177.5,0.0,177.5,1.4200,1.4200,OK
sirius,h2o,2gb,q3,cpu,84.0000,174.0,0.0,174.0,14.6160,14.6160,OK
sirius,h2o,2gb,q4,cpu,12.0000,185.3,0.0,185.3,2.2236,2.2236,OK
sirius,h2o,2gb,q5,cpu,10.0000,200.8,0.0,200.8,2.0080,2.0080,OK
sirius,h2o,2gb,q6,cpu,13.0000,221.6,0.0,221.6,2.8808,2.8808,OK
sirius,h2o,2gb,q7,cpu,60.0000,192.5,0.0,192.5,11.5500,11.5500,OK
sirius,h2o,2gb,q9,cpu,29.0000,309.0,0.0,309.0,8.9610,8.9610,OK
sirius,h2o,2gb,q10,cpu,1233.0000,136.4,0.0,136.4,168.1812,168.1812,OK
maximus,h2o,3gb,q1,gpu,11.8990,280.2,0.0,280.2,3.3341,3.3341,OK
maximus,h2o,3gb,q2,gpu,10.2250,324.0,0.0,324.0,3.3129,3.3129,OK
maximus,h2o,3gb,q3,gpu,46.3080,331.8,0.0,331.8,15.3650,15.3650,OK
maximus,h2o,3gb,q4,gpu,12.1000,285.0,0.0,285.0,3.4485,3.4485,OK
maximus,h2o,3gb,q5,gpu,7.3180,324.2,0.0,324.2,2.3725,2.3725,OK
maximus,h2o,3gb,q6,gpu,238.4050,436.3,0.0,436.3,104.0161,104.0161,OK
maximus,h2o,3gb,q7,gpu,34.1210,335.2,0.0,335.2,11.4374,11.4374,OK
maximus,h2o,3gb,q9,gpu,34.6050,420.1,0.0,420.1,14.5376,14.5376,OK
maximus,h2o,3gb,q10,gpu,427.8560,276.5,0.0,276.5,118.3022,118.3022,OK
maximus,h2o,3gb,q1,cpu,113.9550,122.3,0.0,122.3,13.9367,13.9367,OK
maximus,h2o,3gb,q2,cpu,181.0190,122.3,0.0,122.3,22.1386,22.1386,OK
maximus,h2o,3gb,q3,cpu,262.1360,126.8,0.0,126.8,33.2388,33.2388,OK
maximus,h2o,3gb,q4,cpu,167.7080,121.4,0.0,121.4,20.3598,20.3598,OK
maximus,h2o,3gb,q5,cpu,161.1790,121.9,0.0,121.9,19.6477,19.6477,OK
maximus,h2o,3gb,q6,cpu,364.2190,171.1,0.0,171.1,62.3179,62.3179,OK
