category,engine,benchmark,sf,query,storage,n_reps,run3_ms,min_ms,status
full,maximus,clickbench,10,q13,cpu,0,,,FAIL
full,maximus,clickbench,10,q14,cpu,0,,,FAIL
full,maximus,clickbench,10,q15,cpu,0,,,FAIL
full,maximus,clickbench,10,q16,cpu,0,,,FAIL
full,maximus,clickbench,10,q17,cpu,0,,,FAIL
full,maximus,clickbench,10,q19,cpu,0,,,FAIL
full,maximus,clickbench,10,q20,cpu,0,,,FAIL
full,maximus,clickbench,10,q21,cpu,0,,,FAIL
full,maximus,clickbench,10,q22,cpu,0,,,FAIL
full,maximus,clickbench,10,q23,cpu,0,,,FAIL
full,maximus,clickbench,10,q24,cpu,0,,,FAIL
full,maximus,clickbench,10,q25,cpu,0,,,FAIL
full,maximus,clickbench,10,q26,cpu,0,,,FAIL
full,maximus,clickbench,10,q29,cpu,0,,,FAIL
full,maximus,clickbench,10,q30,cpu,0,,,FAIL
full,maximus,clickbench,10,q31,cpu,0,,,FAIL
full,maximus,clickbench,10,q32,cpu,0,,,FAIL
full,maximus,clickbench,10,q33,cpu,0,,,FAIL
full,maximus,clickbench,10,q34,cpu,0,,,FAIL
full,maximus,clickbench,10,q35,cpu,0,,,FAIL
full,maximus,clickbench,10,q36,cpu,0,,,FAIL
full,maximus,clickbench,10,q37,cpu,0,,,FAIL
full,maximus,clickbench,10,q38,cpu,0,,,FAIL
full,maximus,clickbench,10,q39,cpu,0,,,FAIL
full,maximus,clickbench,10,q40,cpu,0,,,FAIL
full,maximus,clickbench,10,q41,cpu,0,,,FAIL
full,sirius,clickbench,10,q0,gpu,3,1.0000,,OK
full,sirius,clickbench,10,q1,gpu,3,1.0000,1.0000,OK
full,sirius,clickbench,10,q2,gpu,3,2.0000,1.0000,OK
full,sirius,clickbench,10,q3,gpu,3,1.0000,1.0000,OK
