engine,benchmark,sf,query,storage,n_reps,run3_ms,min_ms,all_ms,status
sirius,h2o,2gb,q7,cpu,3,60.0000,60.0000,60.0000;60.0000;60.0000,OK
sirius,h2o,2gb,q9,cpu,3,29.0000,29.0000,31.0000;30.0000;29.0000,OK
sirius,h2o,2gb,q10,cpu,3,1233.0000,1125.0000,1247.0000;1125.0000;1233.0000,OK
maximus,h2o,3gb,q1,gpu,3,11.8990,11.8990,22.7320;12.2110;11.8990,OK
maximus,h2o,3gb,q2,gpu,3,10.2250,10.0330,23.3350;10.0330;10.2250,OK
maximus,h2o,3gb,q3,gpu,3,46.3080,46.3080,61.8930;46.3860;46.3080,OK
maximus,h2o,3gb,q4,gpu,3,12.1000,12.1000,25.1440;12.1270;12.1000,OK
maximus,h2o,3gb,q5,gpu,3,7.3180,7.3180,19.4060;7.3460;7.3180,OK
maximus,h2o,3gb,q6,gpu,3,238.4050,238.4050,269.8870;238.8090;238.4050,OK
maximus,h2o,3gb,q7,gpu,3,34.1210,34.1210,47.3000;34.1510;34.1210,OK
maximus,h2o,3gb,q9,gpu,3,34.6050,34.6050,56.5400;35.1170;34.6050,OK
maximus,h2o,3gb,q10,gpu,3,427.8560,427.8560,438.9160;429.9320;427.8560,OK
maximus,h2o,3gb,q1,cpu,3,113.9550,113.9550,127.0790;113.9950;113.9550,OK
maximus,h2o,3gb,q2,cpu,3,181.0190,180.8050,194.1000;180.8050;181.0190,OK
maximus,h2o,3gb,q3,cpu,3,262.1360,261.6480,276.4170;261.6480;262.1360,OK
maximus,h2o,3gb,q4,cpu,3,167.7080,167.0370,180.0320;167.0370;167.7080,OK
maximus,h2o,3gb,q5,cpu,3,161.1790,160.8020,177.7070;160.8020;161.1790,OK
maximus,h2o,3gb,q6,cpu,3,364.2190,363.8860,389.0400;363.8860;364.2190,OK
maximus,h2o,3gb,q7,cpu,3,221.6780,221.6630,236.1710;221.6630;221.6780,OK
maximus,h2o,3gb,q9,cpu,3,46.5810,45.5510,67.3010;45.5510;46.5810,OK
maximus,h2o,3gb,q10,cpu,3,945.2680,940.0390,940.0390;945.5450;945.2680,OK
sirius,h2o,3gb,q1,gpu,3,11.0000,11.0000,11.0000;11.0000;11.0000,OK
sirius,h2o,3gb,q2,gpu,3,11.0000,11.0000,11.0000;12.0000;11.0000,OK
sirius,h2o,3gb,q3,gpu,3,93.0000,92.0000,96.0000;92.0000;93.0000,OK
sirius,h2o,3gb,q4,gpu,3,17.0000,17.0000,17.0000;18.0000;17.0000,OK
sirius,h2o,3gb,q5,gpu,3,13.0000,13.0000,13.0000;13.0000;13.0000,OK
sirius,h2o,3gb,q6,gpu,3,19.0000,18.0000,18.0000;19.0000;19.0000,OK
sirius,h2o,3gb,q7,gpu,3,69.0000,65.0000,68.0000;65.0000;69.0000,OK
sirius,h2o,3gb,q9,gpu,3,43.0000,42.0000,43.0000;42.0000;43.0000,OK
sirius,h2o,3gb,q10,gpu,3,1967.0000,1698.0000,1698.0000;2092.0000;1967.0000,OK
sirius,h2o,3gb,q1,cpu,3,11.0000,11.0000,11.0000;11.0000;11.0000,OK
sirius,h2o,3gb,q2,cpu,3,11.0000,11.0000,11.0000;11.0000;11.0000,OK
sirius,h2o,3gb,q3,cpu,3,109.0000,95.0000,96.0000;95.0000;109.0000,OK
sirius,h2o,3gb,q4,cpu,3,18.0000,18.0000,19.0000;18.0000;18.0000,OK
sirius,h2o,3gb,q5,cpu,3,13.0000,13.0000,14.0000;13.0000;13.0000,OK
sirius,h2o,3gb,q6,cpu,3,18.0000,18.0000,19.0000;19.0000;18.0000,OK
sirius,h2o,3gb,q7,cpu,3,71.0000,68.0000,73.0000;68.0000;71.0000,OK
sirius,h2o,3gb,q9,cpu,3,43.0000,42.0000,42.0000;43.0000;43.0000,OK
sirius,h2o,3gb,q10,cpu,3,1699.0000,1699.0000,3538.0000;3466.0000;1699.0000,OK
maximus,h2o,4gb,q1,gpu,3,15.9400,15.7980,28.1760;15.7980;15.9400,OK
maximus,h2o,4gb,q2,gpu,3,13.3220,13.3220,25.3880;13.6870;13.3220,OK
maximus,h2o,4gb,q3,gpu,3,57.4690,57.4690,73.8900;57.6120;57.4690,OK
maximus,h2o,4gb,q4,gpu,3,16.0010,16.0010,29.2090;16.0750;16.0010,OK
maximus,h2o,4gb,q5,gpu,3,9.5650,9.5650,23.4770;9.6690;9.5650,OK
