benchmark,sf,query,n_reps,min_ms,avg_ms,all_ms,status
microbench_tpch,20,w5a_035,5,63.6190,90.2956,70.0760;63.6190;108.2270;95.5870;113.9690,OK
microbench_tpch,20,w5a_036,5,44.5760,55.9548,69.4350;48.8260;44.5760;59.8130;57.1240,OK
microbench_tpch,20,w5a_037,5,30.4100,47.0720,83.2500;31.3960;58.0010;30.4100;32.3030,OK
microbench_tpch,20,w5a_038,5,21.8300,21.9534,22.3860;21.8790;21.8300;21.8360;21.8360,OK
microbench_tpch,20,w5a_048,5,46.7450,60.5184,49.1120;113.1790;46.7450;46.7880;46.7680,OK
microbench_tpch,20,w5a_049,5,38.3940,38.4644,38.6480;38.4280;38.3940;38.4100;38.4420,OK
microbench_tpch,20,w5a_050,5,64.7100,65.1312,66.7190;64.7350;64.7360;64.7560;64.7100,OK
microbench_tpch,20,w5a_056,5,85.7460,122.3992,85.7460;102.4550;146.1070;139.1980;138.4900,OK
microbench_tpch,20,w5b_030,5,140.3850,213.2320,227.7710;230.3720;140.3850;251.7320;215.9000,OK
microbench_tpch,20,w5b_039,5,155.1410,272.6288,306.0830;231.7600;485.8520;155.1410;184.3080,OK
microbench_tpch,20,w5b_040,5,141.9220,152.5228,194.6280;141.9840;142.1250;141.9550;141.9220,OK
microbench_tpch,20,w5b_041,5,46.3550,46.5886,46.4720;47.1080;46.3970;46.3550;46.6110,OK
microbench_tpch,20,w5b_042,5,153.4050,214.3216,331.7320;254.9590;162.0700;169.4420;153.4050,OK
microbench_tpch,20,w5b_043,5,55.6500,68.1528,70.5840;95.7300;55.6500;61.8980;56.9020,OK
microbench_tpch,20,w5b_044,5,188.5890,253.4196,200.9070;243.0160;272.3770;188.5890;362.2090,OK
microbench_tpch,20,w5b_045,5,205.6810,231.0910,205.7200;215.7230;272.4400;255.8910;205.6810,OK
microbench_tpch,20,w5b_047,5,186.0070,222.6884,186.2550;260.2190;263.1560;186.0070;217.8050,OK
microbench_tpch,20,w5b_051,5,245.1070,355.5480,334.3830;440.2820;361.1450;245.1070;396.8230,OK
microbench_tpch,20,w6_020,5,17.4520,21.3708,30.7650;22.2620;18.6410;17.7340;17.4520,OK
microbench_tpch,20,w6_021,5,22.5110,35.2238,34.2480;31.0260;47.3570;22.5110;40.9770,OK
microbench_tpch,20,w6_026,5,82.6180,86.6750,98.8160;82.6180;86.4540;82.6840;82.8030,OK
microbench_tpch,20,w6_031,5,34.7030,34.8836,34.7030;35.2000;34.8830;34.7850;34.8470,OK
microbench_tpch,20,w6_032,5,27.8870,43.1530,72.3830;41.3700;27.9100;27.8870;46.2150,OK
microbench_tpch,20,w6_046,5,88.8230,99.5366,88.8230;135.9970;94.4860;88.9830;89.3940,OK
microbench_tpch,20,w6_060,5,108.7340,109.0944,109.7880;108.8600;108.7560;108.7340;109.3340,OK
microbench_h2o,1gb,w1_001,5,0.3090,0.5056,1.1930;0.3180;0.3610;0.3470;0.3090,OK
